16,0,NORMAL,前奏
16,3,NORMAL,
16.5,1,NORMAL,
17,2,NORMAL,
17.5,0,NORMAL,
18,3,NORMAL,
18.5,2,NORMAL,
19,3,NORMAL,
19.5,0,NORMAL,
20,1,NORMAL,
20.5,2,NORMAL,
21,3,NORMAL,
21.5,0,NORMAL,
22,1,NORMAL,
22.5,2,NORMAL,
22.5,3,NORMAL,
22.5,0,NORMAL,
23,1,NORMAL,
23,0,NORMAL,
23,1,NORMAL,
23.5,2,NORMAL,
24,3,NORMAL,
24.5,0,NORMAL,
25,1,NORMAL,
25.5,0,NORMAL,
26,1,NORMAL,
26.5,2,NORMAL,
27,3,NORMAL,
27.5,1,NORMAL,
28,2,NORMAL,
28.5,3,NORMAL,
29,1,NORMAL,
29.5,2,NORMAL,
29.5,3,NORMAL,
29.5,1,NORMAL,
30,0,NORMAL,
30,1,NORMAL,
30,2,NORMAL,
30.5,1,NORMAL,
31,2,NORMAL,
31.5,0,NORMAL,
32,3,NORMAL,
32.5,2,NORMAL,
33,3,NORMAL,
33.5,0,NORMAL,
34,1,NORMAL,
34.5,2,NORMAL,
35,3,NORMAL,
35.5,0,NORMAL,
36,1,NORMAL,
36.5,2,NORMAL,
36.5,3,NORMAL,
36.5,0,NORMAL,
37,1,NORMAL,
37,0,NORMAL,
37,1,NORMAL,
37.5,2,NORMAL,
38,3,NORMAL,
38.5,0,NORMAL,
39,1,NORMAL,
39.5,0,NORMAL,
40,1,NORMAL,
40.5,2,NORMAL,
41,3,NORMAL,
41.5,1,NORMAL,
42,2,NORMAL,
42.5,3,NORMAL,
43,1,NORMAL,
43.5,2,NORMAL,
43.5,3,NORMAL,
43.5,1,NORMAL,
44,0,NORMAL,
44,1,NORMAL,
44,2,NORMAL,
44.5,1,NORMAL,ここから歌う
45,3,LONG_START,な
45.5,2,NORMAL,が
46,1,NORMAL,れ
46.5,1,NORMAL,て
47,2,NORMAL,く
47.5,3,LONG_END,｜
47.5,2,NORMAL,と
48,2,LONG_START,き
48.5,2,NORMAL,の
49,2,NORMAL,｜
49,3,NORMAL,な
50,2,NORMAL,｜
50.5,2,LONG_END,か
51,1,NORMAL,で
51.5,3,NORMAL,で
52,1,NORMAL,も
52.5,1,NORMAL,け
53,3,NORMAL,だ
53.5,3,NORMAL,る
54,1,LONG_START,さ
54.5,3,NORMAL,が
55,2,NORMAL,｜
55.5,2,NORMAL,ほ
56,1,NORMAL,ら
56.5,1,NORMAL,ぐ
57,2,NORMAL,る
57.5,1,LONG_END,ぐ
58,0,NORMAL,る
58.5,1,NORMAL,ま
59,1,LONG_START,わ
59.5,3,NORMAL,ぁ
60,1,LONG_END,て
60.5,2,NORMAL,、
61,2,NORMAL,わ
61.5,3,NORMAL,た
62,0,LONG_START,し
62.5,1,LONG_START,か
63,0,NORMAL,ら
63.5,3,NORMAL,｜
64,0,NORMAL,は
64.5,0,LONG_END,な
65,2,NORMAL,れ
65.5,1,LONG_END,｜
66,3,NORMAL,る
66.5,2,NORMAL,こ
67,3,NORMAL,こ
67.5,3,LONG_START,ろ
68,2,NORMAL,も
68.5,1,NORMAL,み
69,3,NORMAL,え
69.5,0,NORMAL,な
70,2,NORMAL,い
70.5,1,NORMAL,わ
71,3,LONG_END,、
71.5,0,NORMAL,そう！
72,2,NORMAL,し
72.5,3,NORMAL,・
73,2,NORMAL,ら
73.5,0,NORMAL,・
74,1,NORMAL,な
74.5,0,NORMAL,・
75,3,NORMAL,い！
75.5,1,NORMAL,じ
76,2,NORMAL,ぶ
76.5,2,NORMAL,ん
77,1,NORMAL,か
77.5,3,NORMAL,ら
78,3,NORMAL,｜
78.5,2,LONG_START,う
79,2,NORMAL,ご
79.5,2,NORMAL,く
80,2,LONG_END,｜
80.5,1,NORMAL,こ
81,3,NORMAL,｜
81.5,2,NORMAL,と
82,0,NORMAL,も
82.5,3,NORMAL,な
83,0,NORMAL,く
83.5,3,LONG_START,と
84,3,NORMAL,き
84.5,2,NORMAL,の
85,0,NORMAL,す
85.5,3,NORMAL,き
86,3,LONG_END,｜
86.5,1,NORMAL,ま
87,2,NORMAL,に
87.5,2,NORMAL,な
88,2,NORMAL,が
88.5,0,NORMAL,さ
89,3,NORMAL,れ
89.5,1,NORMAL,つ
90,2,NORMAL,づ
90.5,0,NORMAL,け
91,2,NORMAL,て、
91.5,2,LONG_START,し
92,2,NORMAL,ら
92.5,3,NORMAL,な
93,1,NORMAL,い
93.5,0,NORMAL,わ
94,0,NORMAL,｜
94.5,0,NORMAL,ま
95,2,LONG_END,わ
95.5,1,NORMAL,り
96,2,NORMAL,｜
96.5,1,NORMAL,の
97,2,NORMAL,こ
97.5,3,NORMAL,と
98,3,NORMAL,な
98.5,0,NORMAL,ど、
99,1,NORMAL,わ
99.5,3,NORMAL,た
100,3,NORMAL,し
100.5,3,NORMAL,は
101,1,NORMAL,わ
101.5,2,NORMAL,｜
102,3,NORMAL,た
102.5,1,NORMAL,し
103,3,NORMAL,そ
103.5,0,NORMAL,・
104,3,NORMAL,れ
104.5,1,NORMAL,・
105,0,NORMAL,だ
105.5,3,NORMAL,・
106,1,NORMAL,け！
106.5,0,NORMAL,ゆ
107,3,NORMAL,め
107.5,2,NORMAL,み
108,2,NORMAL,て
108.5,2,NORMAL,る
109,0,NORMAL,？
109.5,1,LONG_START,な
110,2,NORMAL,に
110.5,1,LONG_END,も
111,0,NORMAL,み
111.5,2,NORMAL,て
112,3,NORMAL,な
112.5,2,NORMAL,い
113,3,NORMAL,？
113.5,3,NORMAL,か
114,3,NORMAL,た
114.5,2,NORMAL,る
115,1,LONG_START,も
115.5,0,NORMAL,む
116,1,NORMAL,だ
116.5,0,NORMAL,な
117,1,NORMAL,、
117.5,1,LONG_END,じ
118,1,LONG_START,ぶ
118.5,1,NORMAL,ん
119,0,NORMAL,の
119.5,1,LONG_END,こ
120,3,NORMAL,と
120.5,2,NORMAL,ば
121,2,NORMAL,。
121.5,0,LONG_START,か
122,3,LONG_START,な
122.5,3,NORMAL,し
123,3,LONG_END,む
123.5,0,LONG_END,な
124,1,NORMAL,ん
124.5,2,NORMAL,て
125,1,NORMAL,｜
125.5,3,NORMAL,つ
126,3,NORMAL,か
126.5,1,NORMAL,れ
127,3,NORMAL,る
127.5,0,NORMAL,だ
128,2,NORMAL,け
128.5,1,NORMAL,よ
129,0,NORMAL,｜
129.5,0,NORMAL,な
130,3,NORMAL,に
130.5,3,NORMAL,も
131,1,NORMAL,か
131.5,3,NORMAL,ん
132,1,NORMAL,じ
132.5,3,NORMAL,ず
133,1,NORMAL,｜
133.5,1,NORMAL,す
134,3,NORMAL,ご
134.5,1,NORMAL,せ
135,0,NORMAL,ば
135.5,3,NORMAL,い
136,0,NORMAL,い
136.5,3,NORMAL,の
137,1,NORMAL,。
137.5,0,NORMAL,と
138,3,NORMAL,ま
138.5,2,NORMAL,ど
139,2,NORMAL,う
139.5,2,NORMAL,こ
140,1,NORMAL,と
140.5,0,NORMAL,ば
141,0,NORMAL,｜
141.5,0,NORMAL,あ
142,0,NORMAL,た
142.5,1,NORMAL,え
143,1,NORMAL,ら
143.5,0,NORMAL,れ
144,0,NORMAL,て
144.5,2,NORMAL,も
145,1,NORMAL,｜
145.5,3,NORMAL,じ
146,1,NORMAL,ぶ
146.5,2,NORMAL,ん
147,2,NORMAL,の
147.5,2,NORMAL,こ
148,2,NORMAL,こ
148.5,0,NORMAL,ろ
149,0,NORMAL,｜
149.5,0,NORMAL,た
150,3,NORMAL,だ
150.5,0,NORMAL,う
151,1,NORMAL,わ
151.5,3,NORMAL,の
152,1,NORMAL,そ
152.5,0,NORMAL,ら
153,1,NORMAL,。
153.5,0,NORMAL,も
154,1,NORMAL,し
154.5,1,NORMAL,わ
155,0,NORMAL,た
155.5,3,NORMAL,し
156,3,NORMAL,か
156.5,1,NORMAL,ら
157,3,NORMAL,｜
157.5,1,NORMAL,う
158,3,NORMAL,ご
158.5,0,NORMAL,く
159,1,NORMAL,の
159.5,3,NORMAL,な
160,1,NORMAL,ら
160.5,1,NORMAL,ば
161,0,NORMAL,｜
161.5,1,NORMAL,す
162,1,NORMAL,べ
162.5,3,NORMAL,て
163,0,NORMAL,か
163.5,2,NORMAL,え
164,2,NORMAL,る
164.5,2,NORMAL,の
165,1,NORMAL,｜
165.5,0,NORMAL,な
166,2,NORMAL,ら
166.5,1,NORMAL,く
167,1,NORMAL,ろ
167.5,2,NORMAL,に
168,3,NORMAL,す
168.5,2,NORMAL,る
169,1,NORMAL,！
169.5,2,NORMAL,こ
170,0,NORMAL,ん
170.5,2,NORMAL,な
171,1,NORMAL,じ
171.5,1,NORMAL,ぶ
172,1,NORMAL,ん
172.5,1,NORMAL,に
173,0,NORMAL,、
173.5,2,NORMAL,み
174,3,NORMAL,ら
174.5,1,NORMAL,い
175,3,NORMAL,は
175.5,0,NORMAL,あ
176,2,NORMAL,る
176.5,2,NORMAL,の
177,1,NORMAL,？
177.5,1,NORMAL,こ
178,3,NORMAL,ん
178.5,0,NORMAL,な
179,3,NORMAL,せ
179.5,0,NORMAL,か
180,0,NORMAL,い
180.5,2,NORMAL,に
181,2,NORMAL,、
181.5,0,NORMAL,わ
182,3,NORMAL,た
182.5,1,NORMAL,し
183,2,NORMAL,は
183.5,3,NORMAL,い
184,0,NORMAL,る
184.5,1,NORMAL,の
185,3,NORMAL,？
185.5,3,NORMAL,い
186,1,NORMAL,ま
186.5,1,NORMAL,せ
187,1,NORMAL,つ
187.5,1,NORMAL,な
188,2,NORMAL,い
188.5,0,NORMAL,の
189,0,NORMAL,、
189.5,3,NORMAL,い
190,0,NORMAL,ま
190.5,0,NORMAL,か
191,0,NORMAL,な
191.5,2,NORMAL,し
192,2,NORMAL,い
192.5,0,NORMAL,の
193,0,NORMAL,、
193.5,3,NORMAL,じ
194,0,NORMAL,ぶ
194.5,0,NORMAL,ん
195,2,NORMAL,の
195.5,3,NORMAL,こ
196,1,NORMAL,と
196.5,0,NORMAL,も
197,2,NORMAL,、
197.5,1,NORMAL,わ
198,3,NORMAL,か
198.5,0,NORMAL,ら
199,1,NORMAL,な
199.5,3,NORMAL,い
200,0,NORMAL,ま
200.5,2,NORMAL,ま
201,0,NORMAL,。
201.5,1,NORMAL,あ
202,3,NORMAL,ゆ
202.5,1,NORMAL,む
203,0,NORMAL,こ
203.5,3,NORMAL,と
204,3,NORMAL,さ
204.5,0,NORMAL,え
205,1,NORMAL,｜
205.5,2,NORMAL,つ
206,1,NORMAL,か
206.5,1,NORMAL,れ
207,2,NORMAL,る
207.5,0,NORMAL,だ
208,0,NORMAL,け
208.5,1,NORMAL,よ
209,2,NORMAL,。
209.5,3,NORMAL,ひ
210,3,NORMAL,と
210.5,2,NORMAL,の
211,2,NORMAL,こ
211.5,2,NORMAL,と
212,1,NORMAL,な
212.5,0,NORMAL,ど
213,2,NORMAL,｜
213.5,0,NORMAL,し
214,0,NORMAL,り
214.5,3,NORMAL,も
215,1,NORMAL,し
215.5,0,NORMAL,な
216,3,NORMAL,い
216.5,1,NORMAL,わ
217,1,NORMAL,。
217.5,3,NORMAL,こ
218,3,NORMAL,ん
218.5,0,NORMAL,な
219,0,NORMAL,わ
219.5,1,NORMAL,た
220,0,NORMAL,し
220.5,0,NORMAL,も
221,1,NORMAL,｜
221.5,1,LONG_START,か
222,3,NORMAL,わ
222.5,1,NORMAL,れ
223,1,NORMAL,る
223.5,0,NORMAL,の
224,0,NORMAL,な
224.5,2,NORMAL,ら
225,0,NORMAL,｜
225.5,1,LONG_END,も
226,2,LONG_START,し
226.5,1,LONG_START,か
227,2,NORMAL,わ
227.5,2,NORMAL,れ
228,2,NORMAL,る
228.5,0,NORMAL,の
229,0,NORMAL,｜
229.5,2,LONG_END,な
230,0,NORMAL,ら
230.5,0,NORMAL,し
231,0,NORMAL,ろ
231.5,3,NORMAL,に
232,3,NORMAL,な
232.5,0,NORMAL,る
233,1,LONG_END,！！！！！
233.5,0,NORMAL,後奏 
234,0,NORMAL,
234.5,2,NORMAL,
235,2,NORMAL,
235.5,3,NORMAL,
236,2,NORMAL,
236.5,0,NORMAL,
237,0,NORMAL,
237.5,2,NORMAL,
238,0,NORMAL,
238.5,2,NORMAL,
239,0,NORMAL,
239.5,0,NORMAL,
240,2,NORMAL,
240,0,NORMAL,
240,1,NORMAL,
240.5,0,NORMAL,
240.5,2,NORMAL,
240.5,1,NORMAL,
241,1,NORMAL,
241.5,1,NORMAL,
242,3,NORMAL,
242.5,3,NORMAL,
243,3,NORMAL,
243.5,1,NORMAL,
244,0,NORMAL,
244.5,1,NORMAL,
245,1,NORMAL,
245.5,3,NORMAL,
246,1,NORMAL,
246,0,NORMAL,
246,0,NORMAL,
246.5,3,NORMAL,
246.5,0,NORMAL,
246.5,2,NORMAL,
247,3,NORMAL,
247.5,1,NORMAL,
248,0,NORMAL,
248.5,2,NORMAL,
249,1,NORMAL,
249.5,0,NORMAL,
250,0,NORMAL,
250.5,1,NORMAL,
251,3,NORMAL,
251.5,2,NORMAL,
252,2,NORMAL,
252.5,1,NORMAL,
